id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
362	ar-3	ar-3	VERIFIED	D	White			14 CFR 25.1387(d) (rear white light ±70°), Annex 2 3.2.2.4		What colour navigation light would a pilot see on an aircraft which he is overtaking at night?
363	ar-6	ar-4	VERIFIED	D	Return to the starting point on the aerodrome			Annex 2 App 1 3.1		What does a flashing white light from ATC indicate to the pilot of a taxiing aircraft?
364	ar-7	ar-9, ar-11	VERIFIED	A	Turn right while moving forward			Annex 2 App 1 5 (turn signals; waving arm on the side of the turn)	older wording	If a marshaller holds his hand down and waves is right arm continually upwards and backwards, what does he want the pilot to do?
365	ar-9	ar-13	FLAGGED	B	5700 Kg			as #225		Anti collision light is reqd. for A/C whose AUW exceeds
366	ar-7	ar-9, ar-11	VERIFIED	A	09			FAA AIM 2-3-3	west end faces east (090)	The west end of a runway oriented east and west is numbered
367	ar-3	ar-3	VERIFIED	B	Aeroplanes towing gliders shall give way to balloons.			Annex 2 3.2.2.3 a) (power-driven heavier-than-air gives way to balloons)		When converging at approximately the same altitude:
368	ar-13	ar-18	VERIFIED	B	To relieve frequency congestion.			CAR Sec 9 Series E Pt I 4.3.4 (Voice-ATIS where required to reduce the communication load)		ATIS is normally provided:
369	ar-9	ar-13	VERIFIED	D	1000 hrs.			as #108		Max flying hours for a flight crew in one years is:
370	ar-6	ar-4	VERIFIED	C	the surface of the earth to a specified upper limit			Annex 2 def. Control zone		A Control Zone normally is controlled airspace extending upwards from
371	ar-6	ar-4	VERIFIED	C	1,000 feet vertically and 1.5 km horizontally.			AIP India ENR 1.2 §1		When on VFR flight within controlled airspace, a pilot must remain clear of clouds by at least
372	ar-3	ar-3	FLAGGED	A	1 hr and 52 mins			CAR Sec 9 Series C Pt I 4.3	correct answer 2 h 12 (1232+20-1040) is not among the options - rewrite	A VFR flt takes off from Jaipur at 1040 hrs for Ahmedabad. Sunset time at Ahmedabad is1232hrs. What is the maximum flying time available to the p-i-c to land at Ahmedabad?
373	ar-9	ar-13	FLAGGED	C	A, B, C, & D			AIP India ENR 1.4 (Class E = ATS route segment outside CAS; D within CAS)	keyed C (A,B,C,D) conflicts with #269/#458 in the same bank	Indian ATS Routes come under _______class of airspace:
374	ar-9	ar-13	VERIFIED	B	During hours of night.			Annex 2 3.2.3.1 (navigation lights sunset to sunrise)		An aircraft not fitted with navigation lights cannot be flown:
375	ar-4	ar-7, ar-12	VERIFIED	B	Aerodrome is unsafe, do not land			Annex 2 App 1 3.1		Series of Red flashes from control tower when aircraft is in flight means:
376	ar-9	ar-13	VERIFIED	C	All -up weight of the aircraft.			AAI charges schedule (landing charges by weight of aircraft)		Landing and housing charges are payable by private aircraft according to:
377	ar-9	ar-13	VERIFIED	D	Cannot bring them.			Aircraft (Public Health) Rules 1954 r.41 ("No person shall bring into India any dead-body or human remains of persons who may have died of yellow fever, plague, anthrax, glanders")		A person can bring unto human remains of a person who may have died of plague:
378	ar-6	ar-4	VERIFIED	A	For all flights			AIP India ENR 1.10 §1 (information on any flight in Indian airspace to be submitted as a flight plan)		Flight plan must be filed;
379	ar-11	ar-24	VERIFIED	D	Air traffic services reporting office.			Annex 2 App 1 4.2.7		The letter ‘C’ displayed vertically in black against a yellow background indicates the location of the:
380	ar-6	ar-4	FLAGGED	D	Irrespective of weather condition and flight level.	D	Irrespective of weather condition and flight level.	AIP India ENR 1.2 §3	night VFR is permitted when exempted by ATC (local and flying-club training flights); "irrespective" is too absolute	All the flights at night must be conducted in accordance with IFR.
381	ar-6	ar-4	VERIFIED	D	15 min.			Doc 4444 5.4.2.2.1.1 a)		Horizontal separation of aircraft at same cruising level and in same track by time is:
382	ar-7	ar-9, ar-11	VERIFIED	A	Domestic Routes			as #100		Letter ‘W’ in air routes designates:
383	ar-7	ar-9, ar-11	VERIFIED	C	Alternate white and green.			CAR Sec 4 Series B Pt I 5.3.3.6 (white flashes alternating with green at land aerodromes)		Colour specification of rotating aerodrome beacon
384	ar-3	ar-3	VERIFIED	C	Green			as #299		An Aircraft is crossing at right angle left to right then the light seen by you , as PIC is:
385	ar-1	ar-1	VERIFIED	B	5000 mts			AIP India ENR 1.2 1 (5 km below 10000 ft)		In class ‘D’ airspace visibility required for VFR flight below 10000’ ft.
386	ar-6	ar-4	VERIFIED	B	first report after 30 mins and subsequent after 60 mins			Doc 4444 4.11.1.2		On a X-country flight where reporting points are not available position report shall be made every _____ min in IMC.
387	ar-13	ar-18	CORRECTED (proposed, not applied)	C	Met information.	D	Operational Information	Doc 4444 4.12.2 (Section 2 = Operational information)	keyed C (Met) is Section 3	Second section of “Air Report” contains:
388	ar-9	ar-13	VERIFIED	C	An Aircraft			Doc 4444 def. Special air-report (made by an aircraft)		Special Air Report is made by:
389	ar-1	ar-1	VERIFIED	C	Unidirectional red			CAR Sec 4 Series B Pt I 5.3.11.4 (runway end lights fixed unidirectional red)		Runway end lights appear as:
390	ar-1	ar-1	VERIFIED	A	02 mins			Doc 4444 5.8.3.1		Separation between medium a/c taking off behind heavy a/c of (or) light a/c taking off behind medium a/c is:
391	ar-9	ar-13	VERIFIED	A	15 mts			as #215		No unauthorized person must be within ______ mtr of a/c while refueling is going on
392	ar-9	ar-13	VERIFIED	C	30 mins			as #275		Fresh ADC is required in case the flight is delayed by:
393	ar-9	ar-13	FLAGGED	A	20 mts after sunset	A	20 mts after sunset	see #226		In night starts from
394	ar-9	ar-13	VERIFIED	B	5			Aircraft Rules r.38B		For an aircraft having seating capacity of 215 passengers, in number of cabin attendants required is:
395	ar-6	ar-4	VERIFIED	D	An ATC service is provided.			Annex 2 def. Controlled airspace		“Controlled Airspace “means airspace of defined dimensions within which
396	ar-4	ar-7, ar-12	VERIFIED	B	Return to starting point on the airport.			Annex 2 App 1 3.1 (white flashes, on ground: return to starting point)		A flashing white light directed at an aircraft on the maneuvering area of an airport means
397	ar-7	ar-9, ar-11	VERIFIED	B	Vacate the runways immediately.			Doc 4444 7.6.3.2.3.3 ("Flashing runway or taxiway lights - Vacate the runway and observe the tower for light signal")		Blinking runway lights advises vehicles and pedestrians to
398	ar-3	ar-3	VERIFIED	C	110 degrees			14 CFR 25.1387(c)		The starboard navigation light of an aircraft is visible over an arc of:
399	ar-3	ar-3	CORRECTED (proposed, not applied)	C	Only when overtaking on the ground	D	Never	Annex 2 3.2.2.2, 3.2.2.4, 3.2.2.7.1	no ICAO rule ever requires altering to the LEFT; on the ground the overtaking aircraft "shall keep well clear" (no direction). Keyed C comes from old UK rules. Captain to confirm no Indian variant	Under what circumstances should an aircraft giving way alter its course to the left?
400	ar-6	ar-4	VERIFIED	D	A specified height above the surface of the earth, which should not be less than 200 mts			Annex 11 2.10.3 via Air Law textbook (lower limit not less than 200 m)		A Control Area normally is controlled airspace extending upwards from
401	ar-3	ar-3	VERIFIED	C	The a/c which has the other a/c to its right.			Annex 2 3.2.2.3		When two power driven aircraft are in crossing course, the responsibility of avoiding collision, rests with:
402	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	Transition level			AIP India ENR 1.7 §3 (approach: FL until transition level, then altitude)		The a/c approaching to land at an aerodrome changes its altimeter subscale setting to QNH setting while crossing:
403	ar-3	ar-3	VERIFIED	D	Cannot be sued.			as #78		An a/c flying low due to thunder storm for safety reasons can be sued by:
404	ar-8	ar-19, ar-21	VERIFIED	B	Speaks MAY DAY on R/T			Annex 10 Vol II / Doc 9432 (MAYDAY = distress)		During the distress phase an a/c:
405	ar-13	ar-18	VERIFIED	A	first report after 30 mins and subsequent after 60 mins			Doc 4444 4.11.1.2		When flying outside a regular route, an aircraft should report its position to the appropriate ATS unit.
406	ar-4	ar-7, ar-12	VERIFIED	C	0.45mts			CAR Sec 4 Series B Pt I 5.2.3 (0.45 m on precision approach Cat I runways)		Min. width of runway centre line stripes for Cat I runways is:
407	ar-3	ar-3	VERIFIED	A	Cannot fly			CAR Sec 9 Series C Pt I 3.1.8 "No civil aircraft shall be flown in formation."	REVERSAL: my first audit proposed D from ICAO Annex 2 3.1.8. The Indian rule differs from ICAO; keyed A is correct for India	Aircraft intending to fly in formation:
408	ar-4	ar-7, ar-12	VERIFIED	B	Aircraft are required to land, take off and taxi on runway and taxiways only.			Annex 2 App 1 4.2.4		A horizontal white dumbbell displayed in signal area means:
409	ar-4	ar-7, ar-12	VERIFIED	A	An aerodrome specified in the flight plan t o which a flight may proceed when it becomes in advisable to land at the aerodrome of intended landing.			Annex 2 Ch1 def. Alternate aerodrome		An alternate aerodrome means:
410	ar-3	ar-3	VERIFIED	D	2000 ft above the highest obstacle located within 8 kms of the estimated position of the aircraft.			Annex 2 5.1.2 a) (600 m within 8 km)		. 27. While flying over high terrain or in mountainous regions, as IFR flight shall be flown at a level which is at least.
411	ar-9	ar-13	VERIFIED	C	Sealed in zinc and packed in a wooden box. Closed in a shell of zinc, joints sealed, shell enclosed in a teak wooden box which is enclosed in zinc lined box, filled with saw dust impregnated with carbolic powder.			as #91		A person died of cholera, his body can be brought to if:
412	ar-9	ar-13	FLAGGED	B	4 hrs			CAR Sec 7 Series J Pt III 16.1 (FDP extension max 2 h)	no option offers 2 h; outdated	Flight Duty Time can be extended by______ hrs in a day:
413	ar-6	ar-4	VERIFIED	A	2 min.			Doc 4444 5.8.3.1		A light aircraft taking off behind a heavy aircraft requires a spacing of:
414	ar-13	ar-18	VERIFIED	C	243.0 MHz			Captain SAR notes (243.0 MHz)		Emergency µHF frequency is:
415	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	pilot disorientation			FAA AIM 8-1 (Coriolis)		Abrupt head movement during a prolonged constant rate in IMC or simulated instrument conditions can cause:
416	ar-1	ar-1	VERIFIED	A	Annex 2			Annex 2 = Rules of the Air		Information about rules of the air is contained in _________ICAO document.
417	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	false horizons			FAA AIM 8-1 (false horizon)		A sloping cloud formation, an obscured horizon, and a dark scene spread with ground lights and stars can create an illusion known as:
418	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	Flight Levels			AIP India ENR 1.7 §2.1.2		An a/c climbing through the transition layer will reports its height in:
419	ar-6	ar-4	VERIFIED	B	15mins			Doc 4444 5.4.2.2.1.1 a)		Longitudinal separation between two a/c on same track is:
420	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	2000’			Doc 4444 5.3.2 (2000 ft above FL410)		Separation above F410 is:
421	ar-3	ar-3	VERIFIED	C	Prohibited Area			Aircraft Rules Schedule I (3) "The Area around Rashtrapati Bhavan"; AIP ENR 5.1		Rashtrapati Bhawan is a
422	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	5 yr			as #97		Log books of flight crew personnel shall be preserved for not less than ___ years after completion:
423	ar-9	ar-13	VERIFIED	D	14 days			Aircraft (Public Health) Rules 1954 r.2(15) (typhus 14 days)		Incubation period for typhus is:
424	ar-1	ar-1	FLAGGED	A	9 hrs 3 landing	A	9 hrs 3 landing	CAR Sec 7 J Pt III (2019)	old domestic/international table no longer exists; outdated	International flight flying time in one day is restricted to_____ for flight crew:
425	ar-9	ar-13	VERIFIED	A	1			as #524		Pilot to act as PIC of a public transport a/c should have flown on that route times:
426	ar-10	ar-22, ar-25, ar-26	DROPPED (recommended)	C	compartments occupied by them will be less than 620 hPa.			malformed	extraction split the answer across options B-C	A flight to be operated at altitudes at which the atmospheric pressure in personnel compartments will be less than 700 hpa should not be commenced unless sufficient stored breathing oxygen is carried to supply: all crew
427	ar-9	ar-13	VERIFIED	C	60 m			CAR Sec 4 Series B Pt I 5.2.4.5 (60 m = 16 = 8 each side)		Runway threshold stripes are 8 on each side of central line of runway:
428	ar-4	ar-7, ar-12	VERIFIED	A	above filed minima			CAR Sec 8 Series C Pt I 4.6.5		RVR for a runway filed by an operator is 500m. Threshold RVR is reported to be 800 m. It is:
429	ar-1	ar-1	FLAGGED	B	steeper than normal	C	shallower than normal	HPL textbook, Black Hole Effect ("approach path may be flown at too shallow an angle")	the approach APPEARS steep but is FLOWN shallow; stem says "will be", so keyed B describes the illusion, not the path	For a VFR flight making approach at night, the approach will be
430	ar-9	ar-13	VERIFIED	B	AIC			AIP India GEN 3.1 (AIC: forecast of change in legislation)		Draft amendments to aircraft rules 1937 will be published in:
431	ar-3	ar-3	FLAGGED	C	10 mins at the time levels are crossed	C	10 mins at the time levels are crossed	Doc 4444 5.4.2.2.3	rule is vertical separation for 10 min before AND after estimated passing; none of the options states it; C closest	An aircraft on a reciprocal track will be separated by:
432	ar-9	ar-13	BLOCKED	B	DGCA			no held provision		A pilot involved in an incident whose flying has been stopped can start flying again with the permission of :
433	ar-4	ar-7, ar-12	CORRECTED (proposed, not applied)	B	50’	C	100’	CAR Sec 8 Series C Pt I (AWO 2022, Rev 2 2026) - Cat II DH "not lower than 30 m (100 ft)"	keyed B (50 ft) is below the Cat II floor	HAT for Precision approaches Cat II is:
434	ar-2	ar-2, ar-14, ar-15	VERIFIED	B	10			Aircraft Rules r.39C as amended by G.S.R. 733(E) 10-10-2023 (PPL 10 years)		If PPL holder is 30 years old, his license can be renewed for a period of___________yrs
435	ar-3	ar-3	VERIFIED	D	Cannot be sued.			as #78		An a/c flying low due to thunder showers for safety reasons can be sued by:
436	ar-9	ar-13	VERIFIED	D	Cannot bring them.			as #377		A person can bring to human remains of a person who has died of plague:
437	ar-3	ar-3	VERIFIED	A	Land as soon as possible without endangering the safety of the aircraft.			UK Rules of the Air (legislation.gov.uk, SI 2007/3468 Sch 8 r.48): if a navigation light fails in flight "the aircraft shall land as soon as it can safely do so, unless authorised ... to continue"	UK source (the lineage of India's old Schedule IV); no Indian text located	If navigation lights fail at night then:
438	ar-9	ar-13	DROPPED (recommended)	C	impregnated with carbolic powder.			malformed	extraction split the answer across A-C; unanswerable	A person dies of cholera, his body can be brought to if: Packed in a wooden box. Cannot be brought.
439	ar-9	ar-13	VERIFIED	D	ZZZZ			Doc 4444 App 2 Item 9 (ZZZZ)		In case ICAO aircraft designator is not assigned, insert _________ in item 9 of flight plan:
440	ar-7	ar-9, ar-11	VERIFIED	D	AIP			AIP India AD 2 (instrument approach charts)		Inst. Chart procedures are given in:
